OX-XOXOXO, O_WIN
OOXOXXOX-, O_WIN
-OOXOXXOX, O_WIN
OX-XOXXOO, O_WIN
-XOXOOOXX, O_WIN
OX-XOX--O, O_WIN
OX-XOOXXO, O_WIN
OX-XO-X-O, O_WIN
OX-XO--XO, O_WIN
O--OXXO-X, O_WIN
OX-OXXO--, O_WIN
OX-OXXOOX, O_WIN
OOXXO-XXO, O_WIN
OOO-XXXXO, O_WIN
OX-OOXXXO, O_WIN
O-XOXOOXX, O_WIN
OX-OOXOXX, O_WIN
OX-O-XOX-, O_WIN
OX-O-XO-X, O_WIN
OX--OXX-O, O_WIN
OOOX-XX--, O_WIN
OX--O-XXO, O_WIN
-XOXOXO--, O_WIN
-XOXOXOOX, O_WIN
-XOXO-OX-, O_WIN
-XOXO-O-X, O_WIN
-XOXXOXOO, O_WIN
-XOXXO--O, O_WIN
-XOX-O-XO, O_WIN
-XO-XOX-O, O_WIN
-X-X-XOOO, O_WIN
O-XOX-OX-, O_WIN
-XO-OXOX-, O_WIN
-XO-OXO-X, O_WIN
--OXO-OXX, O_WIN
-XO--OXXO, O_WIN
-XO-O-OXX, O_WIN
-XXOOOX--, O_WIN
-XXOOOXOX, O_WIN
-XXOOOXXO, O_WIN
-XXOOOOXX, O_WIN
-XXOOO--X, O_WIN
-X-OOOXX-, O_WIN
-X-XX-OOO, O_WIN
--XOOOX-X, O_WIN
-X-OOOX-X, O_WIN
-X-OOO-XX, O_WIN
-XXXOXOOO, O_WIN
-XXXXOOOO, O_WIN
-XXX--OOO, O_WIN
-XX--XOOO, O_WIN
OOXXOXX-O, O_WIN
O-XOOXXXO, O_WIN
OOOX-XXOX, O_WIN
OOO-XXOXX, O_WIN
OOXXOX-XO, O_WIN
O-XXOXOXO, O_WIN
O-XXOX--O, O_WIN
O-XXOOXXO, O_WIN
OOXOX-OXX, O_WIN
O-XOXXOXO, O_WIN
O-XO-XOX-, O_WIN
-OXXOX-O-, O_WIN
O-X-OX-XO, O_WIN
O-X-O-XXO, O_WIN
O-XO--OXX, O_WIN
-OXXOXXOO, O_WIN
-OXXOOXOX, O_WIN
-OXXO--OX, O_WIN
--XOOOXX-, O_WIN
--XXX-OOO, O_WIN
--OXXOX-O, O_WIN
--XX-XOOO, O_WIN
--X-XXOOO, O_WIN
OOOXX-X--, O_WIN
OOOXXOXX-, O_WIN
OOOXXOX-X, O_WIN
OOOXX-XOX, O_WIN
OOOXXO-XX, O_WIN
OOOXX-OXX, O_WIN
OOOXX---X, O_WIN
O-OXXOXXO, O_WIN
OOOXOXXX-, O_WIN
OO-XOXXOX, O_WIN
OOOX-XXXO, O_WIN
OOOX-X--X, O_WIN
O-OXOXXXO, O_WIN
O--XOXX-O, O_WIN
O--XOX-XO, O_WIN
OOOX--XX-, O_WIN
OOOX--X-X, O_WIN
OOOX---XX, O_WIN
-OOXXOXXO, O_WIN
-OOXOXOXX, O_WIN
-O-XOXXO-, O_WIN
-O-XO-XOX, O_WIN
--OXXO-XO, O_WIN
--OXOXOX-, O_WIN
--OXOXO-X, O_WIN
OOO-XXX--, O_WIN
OOOOXXXX-, O_WIN
OOO-XX--X, O_WIN
O-OOXXOXX, O_WIN
O--OXXOX-, O_WIN
OOO-X-XX-, O_WIN
O--OX-OXX, O_WIN
--O-XOXXO, O_WIN
OOO--XXX-, O_WIN
OOO--XX-X, O_WIN
O---OXXXO, O_WIN
O--O-XOXX, O_WIN
-O--OXXOX, O_WIN
--O-OXOXX, O_WIN
