OXX-XOX-O, X_WIN
XO--XXOOX, X_WIN
XXOXXOOOX, X_WIN
XO--X-O-X, X_WIN
---XXX-OO, X_WIN
OX-OX--X-, X_WIN
XO--X--OX, X_WIN
-OOXXX---, X_WIN
XOOOOXXXX, X_WIN
XOOO--XXX, X_WIN
-OXOXXO-X, X_WIN
XOO-O-XXX, X_WIN
XOO--OXXX, X_WIN
--OXXXOXO, X_WIN
XO-OO-XXX, X_WIN
O-XOXXX-O, X_WIN
XO--OOXXX, X_WIN
OXXOX-X-O, X_WIN
XXXOO--XO, X_WIN
XXOOXO-X-, X_WIN
XXOOXXOOX, X_WIN
XXOOXXOXO, X_WIN
X--XOXXOO, X_WIN
XXX-OO-XO, X_WIN
XXOOX-OX-, X_WIN
XX-OX-OOX, X_WIN
XXOOX-O-X, X_WIN
O-XOO-XXX, X_WIN
-XOXXX-OO, X_WIN
OXO-XXOX-, X_WIN
XXOOX--OX, X_WIN
OXOO--XXX, X_WIN
XXO-XOOX-, X_WIN
XXOOX--XO, X_WIN
XXOOXOOXX, X_WIN
XXOXOOX--, X_WIN
OXOOXOXXX, X_WIN
--XOXOX--, X_WIN
XXOXOOXOX, X_WIN
OXOXXOOXX, X_WIN
XXOXOXXOO, X_WIN
XXO-X-OXO, X_WIN
XXOXO-XO-, X_WIN
XXX--OOXO, X_WIN
XXOXO-X-O, X_WIN
OO-XXXO-X, X_WIN
-X-OXOXXO, X_WIN
OXXOOX--X, X_WIN
XXXX-O-OO, X_WIN
XXOX-OXO-, X_WIN
XXXOXOO--, X_WIN
XXO-XOO-X, X_WIN
OXXOXOX--, X_WIN
XXO-XO-OX, X_WIN
XXOX--XOO, X_WIN
X-OXOXXO-, X_WIN
-X-XXOOXO, X_WIN
X-OXOOX-X, X_WIN
O-X-XXXOO, X_WIN
X-OXXOO-X, X_WIN
OXX-X-XOO, X_WIN
O-XOXOXX-, X_WIN
OOXXX-XO-, X_WIN
-XOOXX-XO, X_WIN
X-OXXOXO-, X_WIN
X-OX-OXOX, X_WIN
X-OXXO-OX, X_WIN
X-OX-OX--, X_WIN
-XOOO-XXX, X_WIN
X-OXXXOO-, X_WIN
OXOXXX--O, X_WIN
X-OXX-OOX, X_WIN
-XOOXO-XX, X_WIN
OXX-OXO-X, X_WIN
X-OXXXO-O, X_WIN
--OOOXXXX, X_WIN
X-OXXX-OO, X_WIN
X-OXX-XOO, X_WIN
X-OX--XO-, X_WIN
X-OX--X-O, X_WIN
XXX-OOX-O, X_WIN
X-OOXXO-X, X_WIN
X-XXOOX-O, X_WIN
X-OOXX-OX, X_WIN
X-O-XOXOX, X_WIN
X-OOXOX-X, X_WIN
X-OOX-XOX, X_WIN
X-OOXO-XX, X_WIN
OXOXXXO--, X_WIN
X-XXO-XOO, X_WIN
X-OOX-OXX, X_WIN
X-OOX---X, X_WIN
X--XXOXOO, X_WIN
X--XOOXOX, X_WIN
OO-XXX-XO, X_WIN
X-O-XOOXX, X_WIN
X-O-XO--X, X_WIN
X-O-X-O-X, X_WIN
OXXOOXXOX, X_WIN
X-O-X--OX, X_WIN
X-OOO-XXX, X_WIN
-OX-OOXXX, X_WIN
X-OO-OXXX, X_WIN
XXXOO----, X_WIN
OX-OXO-XX, X_WIN
XXXOO-OX-, X_WIN
XXXO-O---, X_WIN
-X-OXOOXX, X_WIN
XX-OXOOX-, X_WIN
XXX-OO---, X_WIN
XXXOXOXOO, X_WIN
--X-OXO-X, X_WIN
XXXO-OXO-, X_WIN
XX-OXO-OX, X_WIN
OOXXXX-O-, X_WIN
XXX-OXO-O, X_WIN
XX-OXO-XO, X_WIN
XXXO-OX-O, X_WIN
OXX--XOOX, X_WIN
X-XOXOO-X, X_WIN
XXXO-OOX-, X_WIN
X-XOX-XOO, X_WIN
XXXO-O-XO, X_WIN
O-OXXXXO-, X_WIN
XXXO-OO-X, X_WIN
XXXO-O-OX, X_WIN
XXXO--O--, X_WIN
XXXO-XOO-, X_WIN
X-XOX-OOX, X_WIN
XXXO-XO-O, X_WIN
-OXOX-XOX, X_WIN
-XXOOX-OX, X_WIN
XXXO--OXO, X_WIN
OOX-O-XXX, X_WIN
XXXO--OOX, X_WIN
O-XOXX-OX, X_WIN
XXXOX--OO, X_WIN
OX--XOXXO, X_WIN
OXO-X-OXX, X_WIN
XXXO-X-OO, X_WIN
-OXOOXX-X, X_WIN
X-X-OXOOX, X_WIN
XXXO--XOO, X_WIN
-OXO-OXXX, X_WIN
-XX-XOXOO, X_WIN
OXOOXX-X-, X_WIN
X-XOOXO-X, X_WIN
X-XOOX-OX, X_WIN
XXXOXOOXO, X_WIN
X-XOXO-OX, X_WIN
O-XXOXO-X, X_WIN
XXXXOO--O, X_WIN
X-XOXOX-O, X_WIN
-X--XOOX-, X_WIN
X--OXO--X, X_WIN
-O-XXXO--, X_WIN
OX--X-OX-, X_WIN
X--OX-O-X, X_WIN
X--OX--OX, X_WIN
XXXXOOOXO, X_WIN
XXXXOOOOX, X_WIN
--XOX-X-O, X_WIN
XX-XOOXO-, X_WIN
XX-XOOX-O, X_WIN
O-O-OXXXX, X_WIN
XXX-OOXO-, X_WIN
XXX-OOOX-, X_WIN
OXOXX--XO, X_WIN
XXX-OOO-X, X_WIN
XXX-O-XOO, X_WIN
XXX-OO-OX, X_WIN
XXX-O-O--, X_WIN
XXXXO-O-O, X_WIN
OOXXOX--X, X_WIN
-XOOX-XXO, X_WIN
XXX-O-OXO, X_WIN
O-OXXXX-O, X_WIN
-XOXXXO-O, X_WIN
XXX-O-OOX, X_WIN
XXX-O--O-, X_WIN
XXXXO--OO, X_WIN
XX-XO-XOO, X_WIN
OO-X-OXXX, X_WIN
XXX-O---O, X_WIN
-OX-XXOOX, X_WIN
O-OXXX-XO, X_WIN
X-XXOOXO-, X_WIN
X--XOOX--, X_WIN
X--XOOXXO, X_WIN
X--XO-XO-, X_WIN
X--XO-X-O, X_WIN
XXX--OO--, X_WIN
XXXX-OOO-, X_WIN
XXXX-OO-O, X_WIN
XXX-XOOO-, X_WIN
XXX--OXOO, X_WIN
XX--XOOOX, X_WIN
XXX-XOO-O, X_WIN
XXX--O-O-, X_WIN
O-XXXXOO-, X_WIN
XX-X-OXOO, X_WIN
XXX-XO-OO, X_WIN
XXX---OO-, X_WIN
XXX--O--O, X_WIN
X-X-XOXOO, X_WIN
X--XXOOOX, X_WIN
X--X-OXO-, X_WIN
X--X-OX-O, X_WIN
-OX--X-OX, X_WIN
X---XO-OX, X_WIN
O-XO-X--X, X_WIN
XXX---O-O, X_WIN
X---X-OOX, X_WIN
XXX----OO, X_WIN
X--X--XOO, X_WIN
OOXO-X-XX, X_WIN
OXXOXO-X-, X_WIN
-XOOX-OXX, X_WIN
OXXOXOXOX, X_WIN
OXXOXXXOO, X_WIN
O-XOXXXO-, X_WIN
-OO-XOXXX, X_WIN
OXXOX-XO-, X_WIN
--XOXXOOX, X_WIN
O--OXOXXX, X_WIN
OOX--XOXX, X_WIN
OXXOX--XO, X_WIN
OXXO-X-OX, X_WIN
OXXOXOXXO, X_WIN
OXXXOXOOX, X_WIN
O-X-OXOXX, X_WIN
O-OX-OXXX, X_WIN
OXX-OX-OX, X_WIN
OXXXXOXOO, X_WIN
O-XOOX-XX, X_WIN
-XXOOXO-X, X_WIN
OXX-XOOX-, X_WIN
OOXOXXX--, X_WIN
-XOXXOOX-, X_WIN
OXX-XOXO-, X_WIN
O-XXXX-OO, X_WIN
OXX-XO-XO, X_WIN
OXOXXO-X-, X_WIN
OX-OXX-XO, X_WIN
OXOXX-OX-, X_WIN
OOXXOXOXX, X_WIN
OXOXXXOOX, X_WIN
OXOXXXXOO, X_WIN
OXOXXXOXO, X_WIN
OXOXOOXXX, X_WIN
